customer_id,segment,province,income_band,risk_grade,birth_year,gender
SH0000001,emerging_affluent,Long An,10m_to_25m,A,1982,female
SH0000002,emerging_affluent,Bac Ninh,under_10m,C,1985,male
SH0000003,emerging_affluent,Thanh Hoa,under_10m,B,1991,male
SH0000004,emerging_affluent,Ha Noi,10m_to_25m,D,1993,male
SH0000005,emerging_affluent,Hai Phong,under_10m,C,2001,male
SH0000006,mass,Ho Chi Minh City,10m_to_25m,E,1981,male
SH0000007,mass,Ho Chi Minh City,under_10m,C,1984,male
SH0000008,mass,Dong Nai,10m_to_25m,D,1968,male
SH0000009,mass,Hai Phong,under_10m,C,1997,female
SH0000010,mass,Ho Chi Minh City,10m_to_25m,C,1984,female
SH0000011,mass,Khanh Hoa,under_10m,B,1983,male
SH0000012,mass,Long An,10m_to_25m,C,1988,female
SH0000013,mass,Thanh Hoa,under_10m,B,1977,male
SH0000014,mass,Hai Phong,under_10m,B,2002,male
SH0000015,emerging_affluent,Binh Duong,10m_to_25m,C,1987,male
SH0000016,mass,Ha Noi,under_10m,D,1993,male
SH0000017,mass,Ha Noi,10m_to_25m,C,1985,male
SH0000018,mass,Ho Chi Minh City,under_10m,A,1979,male
SH0000019,mass,Can Tho,under_10m,E,2002,male
SH0000020,mass,Thanh Hoa,under_10m,A,1983,female
SH0000021,mass,Thanh Hoa,10m_to_25m,B,1973,male
SH0000022,mass,Nghe An,under_10m,C,1970,female
SH0000023,mass,Long An,under_10m,C,1968,male
SH0000024,mass,Ho Chi Minh City,10m_to_25m,B,1977,female
SH0000025,mass,Hai Phong,under_10m,E,1979,male
SH0000026,mass,Hai Phong,10m_to_25m,C,1983,female
SH0000027,mass,Khanh Hoa,under_10m,C,1984,female
SH0000028,emerging_affluent,Ho Chi Minh City,over_25m,B,1977,female
SH0000029,mass,Ha Noi,10m_to_25m,D,1992,female
SH0000030,emerging_affluent,Ha Noi,under_10m,A,1970,female
SH0000031,emerging_affluent,Ho Chi Minh City,under_10m,E,1999,female
SH0000032,mass,Dong Nai,over_25m,B,1986,male
SH0000033,emerging_affluent,Bac Ninh,10m_to_25m,D,2005,male
SH0000034,mass,Nghe An,10m_to_25m,C,1981,male
SH0000035,mass,Ha Noi,over_25m,B,1995,male
SH0000036,mass,Binh Duong,under_10m,C,1994,female
SH0000037,emerging_affluent,Ho Chi Minh City,over_25m,C,1977,male
SH0000038,mass,Ho Chi Minh City,under_10m,C,2004,male
SH0000039,mass,Bac Ninh,under_10m,D,1993,male
SH0000040,mass,Thanh Hoa,under_10m,E,1968,male
SH0000041,mass,Ho Chi Minh City,over_25m,B,1985,female
SH0000042,mass,Ha Noi,10m_to_25m,B,1994,male
SH0000043,mass,Da Nang,over_25m,D,2004,male
SH0000044,mass,Hai Phong,under_10m,D,1975,female
SH0000045,mass,Ho Chi Minh City,over_25m,C,1986,male
SH0000046,mass,Ho Chi Minh City,10m_to_25m,D,1976,male
SH0000047,emerging_affluent,Ho Chi Minh City,10m_to_25m,B,1974,female
SH0000048,mass,Da Nang,10m_to_25m,B,2002,male
SH0000049,mass,Khanh Hoa,under_10m,B,1971,female
SH0000050,mass,Ho Chi Minh City,under_10m,C,1986,female
SH0000051,mass,Nghe An,over_25m,D,1978,female
SH0000052,mass,Ho Chi Minh City,under_10m,C,2003,male
SH0000053,mass,Ho Chi Minh City,under_10m,D,1980,male
SH0000054,mass,Da Nang,10m_to_25m,D,1974,female
SH0000055,mass,Khanh Hoa,10m_to_25m,B,1996,female
SH0000056,emerging_affluent,Khanh Hoa,10m_to_25m,C,1993,female
SH0000057,mass,Ho Chi Minh City,under_10m,B,1970,male
SH0000058,mass,Ho Chi Minh City,under_10m,C,1974,male
SH0000059,mass,Long An,under_10m,C,2002,female
SH0000060,emerging_affluent,Nghe An,10m_to_25m,C,1967,male
SH0000061,mass,Da Nang,over_25m,B,1973,female
SH0000062,emerging_affluent,Ha Noi,under_10m,E,1994,male
SH0000063,mass,Binh Duong,10m_to_25m,D,1997,female
SH0000064,mass,Ha Noi,under_10m,C,1971,male
SH0000065,mass,Da Nang,10m_to_25m,D,1988,female
SH0000066,mass,Thanh Hoa,over_25m,B,1997,male
SH0000067,mass,Ho Chi Minh City,10m_to_25m,C,1991,female
SH0000068,emerging_affluent,Can Tho,under_10m,C,1986,male
SH0000069,emerging_affluent,Ha Noi,under_10m,C,1971,male
SH0000070,emerging_affluent,Thanh Hoa,10m_to_25m,C,1970,male
SH0000071,emerging_affluent,Da Nang,under_10m,D,1994,female
SH0000072,mass,Ha Noi,10m_to_25m,A,1968,male
SH0000073,mass,Hai Phong,under_10m,B,1977,female
SH0000074,mass,Bac Ninh,over_25m,D,1993,male
SH0000075,emerging_affluent,Da Nang,10m_to_25m,C,1969,female
SH0000076,mass,Da Nang,under_10m,B,2000,female
SH0000077,mass,Ho Chi Minh City,under_10m,A,2002,male
SH0000078,emerging_affluent,Da Nang,under_10m,D,1975,male
SH0000079,emerging_affluent,Bac Ninh,10m_to_25m,D,2003,male
SH0000080,mass,Ho Chi Minh City,10m_to_25m,D,1987,female
SH0000081,emerging_affluent,Hai Phong,under_10m,B,1971,male
SH0000082,mass,Thanh Hoa,under_10m,C,1965,male
SH0000083,mass,Hai Phong,under_10m,B,1994,male
SH0000084,emerging_affluent,Bac Ninh,10m_to_25m,C,1983,male
SH0000085,mass,Khanh Hoa,10m_to_25m,C,1977,male
SH0000086,mass,Ha Noi,under_10m,C,1970,male
SH0000087,mass,Ha Noi,under_10m,C,1976,male
SH0000088,mass,Long An,under_10m,C,1989,male
SH0000089,mass,Ho Chi Minh City,under_10m,C,1982,male
SH0000090,mass,Khanh Hoa,10m_to_25m,B,1975,female
SH0000091,mass,Binh Duong,under_10m,C,1982,female
SH0000092,emerging_affluent,Thanh Hoa,10m_to_25m,C,1976,female
SH0000093,mass,Ha Noi,under_10m,A,1999,female
SH0000094,mass,Ha Noi,under_10m,B,1994,male
SH0000095,emerging_affluent,Bac Ninh,over_25m,C,1965,female
SH0000096,mass,Binh Duong,under_10m,E,1968,female
SH0000097,mass,Hai Phong,10m_to_25m,C,1977,female
SH0000098,mass,Ha Noi,10m_to_25m,B,1994,male
SH0000099,mass,Bac Ninh,10m_to_25m,E,2005,female
SH0000100,mass,Binh Duong,under_10m,D,1966,male
