month,loan_id,amount_due,amount_collected,bucket_at_due
2024-01-01,LN00000001,486000,449229,current
2024-02-01,LN00000001,486000,473262,current
2024-03-01,LN00000001,486000,446034,current
2024-04-01,LN00000001,486000,453582,current
2024-05-01,LN00000001,486000,466233,dpd_1_29
2024-06-01,LN00000001,486000,428137,current
2024-07-01,LN00000001,486000,475423,current
2024-08-01,LN00000001,486000,442634,current
2024-09-01,LN00000001,486000,428260,current
2024-10-01,LN00000001,486000,480889,current
2024-11-01,LN00000001,486000,436994,current
2024-12-01,LN00000001,486000,460359,current
2025-01-01,LN00000001,486000,434933,current
2025-02-01,LN00000001,486000,484370,current
2025-03-01,LN00000001,486000,464976,current
2025-04-01,LN00000001,486000,484620,current
2025-05-01,LN00000001,486000,395061,dpd_1_29
2025-06-01,LN00000001,486000,474206,current
2025-07-01,LN00000001,486000,452129,current
2024-01-01,LN00000002,3324000,3290924,current
2024-02-01,LN00000002,3324000,3239074,current
2024-03-01,LN00000002,3324000,2936492,current
2024-04-01,LN00000002,3324000,3175723,current
2024-05-01,LN00000002,3324000,2990605,current
2024-06-01,LN00000002,3324000,3068534,current
2024-07-01,LN00000002,3324000,3268691,dpd_1_29
2024-08-01,LN00000002,3324000,2113456,dpd_30_59
2024-09-01,LN00000002,3324000,2185791,dpd_30_59
2024-10-01,LN00000002,3324000,1836438,dpd_30_59
2024-01-01,LN00000003,3362000,3013910,current
2024-02-01,LN00000003,3362000,3353907,current
2024-03-01,LN00000003,3362000,3084476,current
2024-04-01,LN00000003,3362000,3337302,current
2024-05-01,LN00000003,3362000,3016701,current
2024-06-01,LN00000003,3362000,3164761,dpd_1_29
2024-01-01,LN00000004,2881000,2548820,current
2024-02-01,LN00000004,2881000,2762430,current
2024-03-01,LN00000004,2881000,2735887,current
2024-04-01,LN00000004,2881000,2760392,current
2024-05-01,LN00000004,2881000,2697843,current
2024-06-01,LN00000004,2881000,2812946,current
2024-07-01,LN00000004,2881000,2549614,current
2024-08-01,LN00000004,2881000,2834555,current
2024-01-01,LN00000005,1824000,1621138,current
2024-02-01,LN00000005,1824000,1814588,dpd_1_29
2024-03-01,LN00000005,1824000,1496957,dpd_1_29
2024-04-01,LN00000005,1824000,1680397,current
2024-05-01,LN00000005,1824000,1665748,dpd_1_29
2024-06-01,LN00000005,1824000,1793381,dpd_1_29
2024-07-01,LN00000005,1824000,1282975,dpd_30_59
2024-08-01,LN00000005,1824000,504677,dpd_60_89
2024-09-01,LN00000005,1824000,179361,dpd_90_plus
2024-10-01,LN00000005,1824000,124880,dpd_90_plus
2024-11-01,LN00000005,1824000,147262,dpd_90_plus
2024-01-01,LN00000006,2813000,2660895,current
2024-02-01,LN00000006,2813000,2694229,current
2024-03-01,LN00000006,2813000,2747200,current
2024-04-01,LN00000006,2813000,2668885,current
2024-05-01,LN00000006,2813000,2689756,current
2024-06-01,LN00000006,2813000,2585197,current
2024-01-01,LN00000007,5442000,4861515,current
2024-02-01,LN00000007,5442000,4983218,current
2024-03-01,LN00000007,5442000,5037833,current
2024-04-01,LN00000007,5442000,5419212,current
2024-01-01,LN00000008,397000,376149,current
2024-02-01,LN00000008,397000,328161,dpd_1_29
2024-03-01,LN00000008,397000,362756,current
2024-04-01,LN00000008,397000,389696,current
2024-05-01,LN00000008,397000,357110,current
2024-06-01,LN00000008,397000,385013,current
2024-07-01,LN00000008,397000,366531,current
2024-08-01,LN00000008,397000,383590,current
2024-09-01,LN00000008,397000,391510,current
2024-10-01,LN00000008,397000,364524,current
2024-11-01,LN00000008,397000,376086,current
2024-12-01,LN00000008,397000,365074,current
2025-01-01,LN00000008,397000,357972,current
2025-02-01,LN00000008,397000,388237,current
2025-03-01,LN00000008,397000,366740,current
2025-04-01,LN00000008,397000,375094,current
2025-05-01,LN00000008,397000,363213,current
2025-06-01,LN00000008,397000,396820,current
