loan_id,app_id,disbursed_date,customer_id,product_key,channel,partner_id,principal,tenor_months,annual_rate,monthly_installment
LN00000001,APP00000001,2024-01-07,SH0001509,cash_loan,telesales,,7600000,20,0.2948,486000
LN00000002,APP00000006,2024-01-06,SH0000434,cd_installment,digital_app,,32400000,11,0.2485,3324000
LN00000003,APP00000007,2024-01-05,SH0003145,credit_card_loan,digital_app,,21100000,7,0.337,3362000
LN00000004,APP00000011,2024-01-04,SH0000333,two_wheeler_loan,dsa,,24000000,9,0.1888,2881000
LN00000005,APP00000012,2024-01-04,SH0000614,cash_loan,telesales,,18000000,12,0.3772,1824000
LN00000006,APP00000014,2024-01-04,SH0002904,cash_loan,telesales,,17300000,7,0.4019,2813000
LN00000007,APP00000016,2024-01-05,SH0001143,credit_card_loan,pos_partner,PTR019,24900000,5,0.3637,5442000
LN00000008,APP00000018,2024-01-02,SH0003830,cash_loan,telesales,,5800000,19,0.334,397000
LN00000009,APP00000019,2024-01-02,SH0001815,cash_loan,digital_app,,5300000,35,0.4154,264000
LN00000010,APP00000021,2024-01-06,SH0002090,cash_loan,dsa,,5400000,14,0.4182,494000
LN00000011,APP00000022,2024-01-03,SH0000918,cash_loan,dsa,,110400000,9,0.3951,14373000
LN00000012,APP00000023,2024-01-02,SH0000978,cash_loan,digital_app,,15900000,32,0.3899,807000
LN00000013,APP00000024,2024-01-05,SH0000709,two_wheeler_loan,pos_partner,PTR010,28400000,26,0.2495,1425000
LN00000014,APP00000029,2024-01-04,SH0003102,two_wheeler_loan,pos_partner,PTR017,18400000,36,0.25,732000
LN00000015,APP00000032,2024-01-04,SH0000200,credit_card_loan,digital_app,,13700000,8,0.3526,1947000
LN00000016,APP00000033,2024-01-06,SH0001465,cash_loan,telesales,,5500000,18,0.3547,398000
LN00000017,APP00000034,2024-01-06,SH0001919,credit_card_loan,dsa,,9600000,7,0.3115,1517000
LN00000018,APP00000035,2024-01-04,SH0003735,cash_loan,telesales,,77600000,23,0.3783,4794000
LN00000019,APP00000036,2024-01-03,SH0002494,cash_loan,dsa,,274600000,30,0.3712,14179000
LN00000020,APP00000038,2024-01-07,SH0001648,cash_loan,digital_app,,7800000,18,0.3837,577000
LN00000021,APP00000039,2024-01-05,SH0000279,two_wheeler_loan,dsa,,59400000,19,0.2279,3753000
LN00000022,APP00000041,2024-01-02,SH0002713,credit_card_loan,digital_app,,17000000,9,0.3447,2170000
LN00000023,APP00000042,2024-01-07,SH0001126,credit_card_loan,digital_app,,1400000,9,0.3181,177000
LN00000024,APP00000044,2024-01-04,SH0002125,cash_loan,digital_app,,65500000,23,0.3644,3999000
LN00000025,APP00000045,2024-01-05,SH0001037,cash_loan,dsa,,7800000,24,0.4073,480000
LN00000026,APP00000047,2024-01-06,SH0003086,cd_installment,pos_partner,PTR001,3300000,17,0.324,245000
LN00000027,APP00000049,2024-01-05,SH0003424,cd_installment,pos_partner,PTR008,35000000,15,0.2525,2745000
LN00000028,APP00000052,2024-01-06,SH0001476,cd_installment,pos_partner,PTR001,2600000,20,0.2991,167000
LN00000029,APP00000054,2024-01-04,SH0003229,cash_loan,digital_app,,6300000,14,0.3605,558000
LN00000030,APP00000057,2024-01-03,SH0003178,two_wheeler_loan,pos_partner,PTR010,65200000,18,0.2468,4371000
LN00000031,APP00000059,2024-01-06,SH0003494,two_wheeler_loan,pos_partner,PTR017,67000000,35,0.2027,2551000
LN00000032,APP00000060,2024-01-05,SH0003173,cd_installment,pos_partner,PTR018,51700000,10,0.216,5696000
LN00000033,APP00000062,2024-01-07,SH0003016,two_wheeler_loan,pos_partner,PTR010,16700000,32,0.2422,713000
LN00000034,APP00000065,2024-01-05,SH0000129,credit_card_loan,digital_app,,33000000,7,0.3406,5264000
LN00000035,APP00000066,2024-01-06,SH0001940,cash_loan,digital_app,,10400000,22,0.2873,614000
LN00000036,APP00000068,2024-01-05,SH0002736,cash_loan,digital_app,,114600000,12,0.3923,11699000
LN00000037,APP00000070,2024-01-07,SH0000541,cd_installment,pos_partner,PTR022,13500000,7,0.2951,2123000
LN00000038,APP00000072,2024-01-07,SH0000362,two_wheeler_loan,dsa,,20000000,35,0.2382,798000
LN00000039,APP00000073,2024-01-07,SH0000046,cash_loan,digital_app,,11300000,27,0.3239,595000
LN00000040,APP00000075,2024-01-04,SH0000574,two_wheeler_loan,dsa,,23100000,6,0.2612,4149000
LN00000041,APP00000077,2024-01-06,SH0002685,two_wheeler_loan,dsa,,10600000,17,0.2352,739000
LN00000042,APP00000078,2024-01-06,SH0001656,two_wheeler_loan,pos_partner,PTR016,10000000,14,0.1874,801000
LN00000043,APP00000079,2024-01-09,SH0002107,cash_loan,digital_app,,7800000,26,0.41,458000
LN00000044,APP00000081,2024-01-05,SH0001860,credit_card_loan,digital_app,,11500000,11,0.251,1181000
LN00000045,APP00000082,2024-01-05,SH0000791,cd_installment,pos_partner,PTR006,3500000,16,0.3488,277000
LN00000046,APP00000086,2024-01-03,SH0000687,cd_installment,pos_partner,PTR018,21800000,7,0.2132,3340000
LN00000047,APP00000088,2024-01-08,SH0002108,two_wheeler_loan,dsa,,27800000,7,0.2665,4332000
LN00000048,APP00000089,2024-01-05,SH0002265,cd_installment,pos_partner,PTR006,11600000,17,0.295,843000
LN00000049,APP00000090,2024-01-07,SH0001084,credit_card_loan,dsa,,6200000,3,0.3287,2181000
LN00000050,APP00000091,2024-01-08,SH0001994,cd_installment,pos_partner,PTR005,4200000,13,0.2846,379000
LN00000051,APP00000092,2024-01-10,SH0002038,cash_loan,digital_app,,224400000,22,0.3805,14323000
LN00000052,APP00000093,2024-01-06,SH0001367,two_wheeler_loan,pos_partner,PTR017,48000000,17,0.2376,3353000
LN00000053,APP00000095,2024-01-04,SH0002740,cash_loan,digital_app,,208200000,13,0.3736,19719000
LN00000054,APP00000096,2024-01-08,SH0001173,cd_installment,pos_partner,PTR005,3100000,6,0.2682,558000
LN00000055,APP00000097,2024-01-06,SH0000753,cd_installment,dsa,,5700000,17,0.2557,403000
LN00000056,APP00000098,2024-01-08,SH0003319,two_wheeler_loan,dsa,,10800000,11,0.1953,1080000
LN00000057,APP00000100,2024-01-09,SH0000059,cd_installment,pos_partner,PTR018,28400000,7,0.2162,4355000
LN00000058,APP00000102,2024-01-07,SH0003026,credit_card_loan,dsa,,1000000,5,0.3251,217000
LN00000059,APP00000103,2024-01-08,SH0001830,two_wheeler_loan,dsa,,24500000,33,0.2638,1052000
LN00000060,APP00000104,2024-01-08,SH0003260,cash_loan,pos_partner,PTR011,25400000,27,0.3766,1409000
LN00000061,APP00000105,2024-01-05,SH0002838,cash_loan,digital_app,,122300000,12,0.3875,12455000
LN00000062,APP00000106,2024-01-05,SH0002456,cd_installment,pos_partner,PTR018,2300000,20,0.3408,152000
LN00000063,APP00000107,2024-01-07,SH0001983,two_wheeler_loan,pos_partner,PTR016,29700000,13,0.237,2613000
LN00000064,APP00000108,2024-01-06,SH0001006,cash_loan,telesales,,77700000,32,0.2951,3536000
LN00000065,APP00000109,2024-01-09,SH0003556,credit_card_loan,digital_app,,14100000,12,0.2923,1369000
LN00000066,APP00000110,2024-01-09,SH0001616,cash_loan,digital_app,,5400000,29,0.3248,271000
LN00000067,APP00000115,2024-01-09,SH0002294,cd_installment,pos_partner,PTR005,8900000,11,0.3008,936000
LN00000068,APP00000117,2024-01-07,SH0003727,credit_card_loan,dsa,,1100000,8,0.312,154000
LN00000069,APP00000118,2024-01-09,SH0002917,two_wheeler_loan,pos_partner,PTR015,48300000,32,0.2552,2096000
LN00000070,APP00000119,2024-01-10,SH0000021,credit_card_loan,digital_app,,2200000,8,0.3559,313000
LN00000071,APP00000120,2024-01-07,SH0000393,cd_installment,digital_app,,3700000,14,0.2435,306000
LN00000072,APP00000121,2024-01-08,SH0003297,cash_loan,dsa,,64500000,31,0.2803,2947000
LN00000073,APP00000123,2024-01-11,SH0002794,cash_loan,digital_app,,6500000,11,0.3191,689000
LN00000074,APP00000124,2024-01-08,SH0002774,cd_installment,pos_partner,PTR005,19600000,13,0.2111,1700000
LN00000075,APP00000126,2024-01-10,SH0002009,two_wheeler_loan,pos_partner,PTR010,29300000,8,0.2784,4055000
LN00000076,APP00000127,2024-01-08,SH0003094,cash_loan,digital_app,,52100000,35,0.3553,2411000
LN00000077,APP00000128,2024-01-06,SH0003767,credit_card_loan,dsa,,28600000,5,0.2749,6119000
LN00000078,APP00000129,2024-01-09,SH0000840,cash_loan,digital_app,,22000000,23,0.366,1345000
LN00000079,APP00000130,2024-01-11,SH0002893,cash_loan,digital_app,,22800000,25,0.3295,1273000
LN00000080,APP00000132,2024-01-07,SH0003099,cash_loan,digital_app,,5800000,7,0.3448,926000
LN00000081,APP00000134,2024-01-07,SH0001452,cash_loan,digital_app,,80100000,19,0.4166,5828000
LN00000082,APP00000138,2024-01-08,SH0002632,cash_loan,telesales,,98900000,36,0.3022,4210000
LN00000083,APP00000139,2024-01-07,SH0000068,cash_loan,digital_app,,24800000,18,0.3901,1842000
LN00000084,APP00000140,2024-01-08,SH0001202,cash_loan,dsa,,19600000,30,0.385,1027000
LN00000085,APP00000143,2024-01-10,SH0001840,cash_loan,digital_app,,110900000,9,0.4149,14549000
LN00000086,APP00000144,2024-01-07,SH0002361,two_wheeler_loan,pos_partner,PTR016,24600000,15,0.2545,1932000
LN00000087,APP00000145,2024-01-09,SH0003790,cd_installment,pos_partner,PTR008,4400000,22,0.3206,267000
LN00000088,APP00000147,2024-01-10,SH0002912,cash_loan,dsa,,235900000,9,0.3612,30312000
LN00000089,APP00000148,2024-01-10,SH0001395,credit_card_loan,telesales,,26300000,10,0.3389,3056000
LN00000090,APP00000150,2024-01-09,SH0002097,cd_installment,pos_partner,PTR001,6300000,19,0.3036,422000
LN00000091,APP00000153,2024-01-10,SH0000504,two_wheeler_loan,pos_partner,PTR017,25200000,17,0.2054,1721000
