snapshot_month,loan_id,outstanding_principal,dpd,dpd_bucket,status,is_restructured
2024-01-31,LN00000001,7220000,0,current,active,false
2024-02-29,LN00000001,6840000,0,current,active,false
2024-03-31,LN00000001,6460000,0,current,active,false
2024-04-30,LN00000001,6080000,16,dpd_1_29,active,false
2024-05-31,LN00000001,5700000,18,dpd_1_29,active,false
2024-06-30,LN00000001,5320000,54,dpd_30_59,active,false
2024-07-31,LN00000001,4940000,54,dpd_30_59,active,false
2024-08-31,LN00000001,4560000,76,dpd_60_89,active,false
2024-09-30,LN00000001,4180000,40,dpd_30_59,active,false
2024-10-31,LN00000001,3800000,42,dpd_30_59,active,false
2024-11-30,LN00000001,3420000,42,dpd_30_59,active,false
2024-12-31,LN00000001,3040000,60,dpd_60_89,active,false
2025-01-31,LN00000001,2660000,104,dpd_90_plus,active,false
2025-02-28,LN00000001,2280000,73,dpd_60_89,active,false
2025-03-31,LN00000001,1900000,75,dpd_60_89,active,false
2025-04-30,LN00000001,1520000,103,dpd_90_plus,active,false
2025-05-31,LN00000001,1140000,103,dpd_90_plus,active,false
2025-06-30,LN00000001,760000,135,dpd_90_plus,written_off,false
2024-01-31,LN00000002,29454545,0,current,active,false
2024-02-29,LN00000002,26509091,0,current,active,false
2024-03-31,LN00000002,23563636,0,current,active,false
2024-04-30,LN00000002,20618182,0,current,active,false
2024-05-31,LN00000002,17672727,0,current,active,false
2024-06-30,LN00000002,14727273,0,current,active,false
2024-07-31,LN00000002,11781818,0,current,active,false
2024-08-31,LN00000002,8836364,0,current,active,false
2024-09-30,LN00000002,5890909,0,current,active,false
2024-10-31,LN00000002,2945455,0,current,active,false
2024-11-30,LN00000002,0,0,current,closed,false
2024-01-31,LN00000003,18085714,0,current,active,false
2024-02-29,LN00000003,15071429,0,current,active,false
2024-03-31,LN00000003,12057143,0,current,active,false
2024-04-30,LN00000003,9042857,0,current,active,false
2024-05-31,LN00000003,6028571,0,current,active,false
2024-06-30,LN00000003,3014286,0,current,active,false
2024-07-31,LN00000003,0,0,current,closed,false
2024-01-31,LN00000004,21333333,0,current,active,false
2024-02-29,LN00000004,18666667,0,current,active,false
2024-03-31,LN00000004,16000000,0,current,active,false
2024-04-30,LN00000004,13333333,0,current,active,false
2024-05-31,LN00000004,10666667,0,current,active,false
2024-06-30,LN00000004,8000000,0,current,active,false
2024-07-31,LN00000004,5333333,0,current,active,false
2024-08-31,LN00000004,2666667,0,current,active,false
2024-09-30,LN00000004,0,0,current,closed,false
2024-01-31,LN00000005,16500000,0,current,active,false
2024-02-29,LN00000005,15000000,25,dpd_1_29,active,false
2024-03-31,LN00000005,13500000,25,dpd_1_29,active,false
2024-04-30,LN00000005,12000000,67,dpd_60_89,active,false
2024-05-31,LN00000005,10500000,67,dpd_60_89,active,false
2024-06-30,LN00000005,9000000,67,dpd_60_89,active,false
2024-07-31,LN00000005,7500000,67,dpd_60_89,active,false
2024-08-31,LN00000005,6000000,69,dpd_60_89,active,false
2024-09-30,LN00000005,4500000,69,dpd_60_89,active,false
2024-10-31,LN00000005,3000000,70,dpd_60_89,active,false
2024-11-30,LN00000005,1500000,71,dpd_60_89,active,false
2024-12-31,LN00000005,0,0,current,closed,false
2024-01-31,LN00000006,14828571,0,current,active,false
2024-02-29,LN00000006,12357143,0,current,active,false
2024-03-31,LN00000006,9885714,0,current,active,false
2024-04-30,LN00000006,7414286,0,current,active,false
2024-05-31,LN00000006,4942857,0,current,active,false
2024-06-30,LN00000006,2471429,0,current,active,false
2024-07-31,LN00000006,0,0,current,closed,false
2024-01-31,LN00000007,19920000,0,current,active,false
2024-02-29,LN00000007,14940000,0,current,active,false
2024-03-31,LN00000007,9960000,0,current,active,false
2024-04-30,LN00000007,4980000,0,current,active,false
2024-05-31,LN00000007,0,0,current,closed,false
2024-01-31,LN00000008,5494737,0,current,active,false
2024-02-29,LN00000008,5189474,0,current,active,false
